Name	Set	ImageFile	Cost	Type	Race	Allignment 	Group	Power	Guard	Elemental Affinity	Weakness	Set Number	Script
Turn Icon	Demonic Invasion	FullAction.png,HalfAction.png	N/A	Token									
Angel	Demonic Invasion	Angel.png	1	Demon	Divine	Law		1	1	Expel	Curse	BS01-01	/ccred+1;/ccblue+1
Ba	Demonic Invasion	Ba.png	1	Demon	Flight	Law		1	1	Force	Electric	BS01-02	/ccred+1;/ccblue+1
Doppelganger	Demonic Invasion	Doppelganger.png	1	Demon	Foul	Chaos		1	1	Physical	Expel	BS01-03	/ccred+1;/ccblue+1
Petit Frost	Demonic Invasion	PetitFrost.png	1	Demon	Fairy	Neutral	Jack	1	1	Ice	Fire	BS01-04	/ccred+1;/ccblue+1
Pixie	Demonic Invasion	Pixie.png	1	Demon	Fairy	Neutral		1	1	Force	Curse	BS01-05	/ccred+1;/ccblue+1
Apsaras	Demonic Invasion	Apsaras.png	2	Demon	Yoma	Law	Dance	1	3	Ice	Fire	BS01-06	/ccred+1;/ccblue+3
Archangel	Demonic Invasion	Archangel.png	2	Demon	Divine	Law		2	2	Expel	Curse	BS01-07	/ccred+2;/ccblue+2
Churel	Demonic Invasion	Churel.png	2	Demon	Haunt	Chaos		3	1	Curse	Expel	BS01-08	/ccred+3;/ccblue+1
Jack Frost	Demonic Invasion	JackFrost.png	2	Demon	Fairy	Neutral	Jack	2	2	Ice	Fire	BS01-09	/ccred+2;/ccblue+2
Jack Ripper	Demonic Invasion	JackRipper.png	2	Demon	Foul	Chaos	Jack	3	1	Physical	Expel	BS01-10	/ccred+3;/ccblue+1
Jack-o-Lantern	Demonic Invasion	JackoLantern.png	2	Demon	Fairy	Neutral	Jack	1	3	Fire	Ice	BS01-11	/ccred+1;/ccblue+3
Kanbari	Demonic Invasion	Kanbari.png	2	Demon	Enigma	Neutral		0	4	Expel	Physical	BS01-12	/ccred+0;/ccblue+4
Lilim	Demonic Invasion	Lilim.png	2	Demon	Night	Chaos		1	3	Curse	Expel	BS01-13	/ccred+1;/ccblue+3
Mokoi	Demonic Invasion	Mokoi.png	2	Demon	Night	Chaos		2	2	Electric	Force	BS01-14	/ccred+2;/ccblue+2
Sandman	Demonic Invasion	Sandman.png	2	Demon	Night	Chaos		1	3	Curse	Electric	BS01-15	/ccred+1;/ccblue+3
Ai-oh	Demonic Invasion	Ai-oh.png	3	Demon	Fairy	Neutral	Jack	2	4	Electric	Force	BS01-16	/ccred+2;/ccblue+4
Aitvaras	Demonic Invasion	Aitvaras.png	3	Demon	Drake	Chaos		2	4	Fire	Ice	BS01-17	/ccred+2;/ccblue+4
Apis	Demonic Invasion	Apis.png	3	Demon	Holy	Law		2	4	Expel	Curse	BS01-18	/ccred+2;/ccblue+4
Hator	Demonic Invasion	Hator.png	3	Demon	Megami	Law	Dance	2	4	Expel	Physical	BS01-19	/ccred+2;/ccblue+4
Incubus	Demonic Invasion	Incubus.png	3	Demon	Night	Chaos		2	4	Curse	Electric	BS01-20	/ccred+2;/ccblue+4
Naga	Demonic Invasion	Naga.png	3	Demon	Snake	Neutral		4	2	Electric	Force	BS01-21	/ccred+4;/ccblue+2
Oni	Demonic Invasion	Oni.png	3	Demon	Brute	Chaos		4	2	Physical	Electric	BS01-22	/ccred+4;/ccblue+2
Principality	Demonic Invasion	Principality.png	3	Demon	Divine	Law		2	4	Expel	Curse	BS01-23	/ccred+2;/ccblue+4
Yaksini	Demonic Invasion	Yaksini.png	3	Demon	Femme	Neutral		3	3	Force	Electric	BS01-24	/ccred+3;/ccblue+3
Bastet	Demonic Invasion	Bastet.png	4	Demon	Holy	Law	Cat	5	3	Force	Curse	BS01-25	/ccred+5;/ccblue+3
Demonee-oh	Demonic Invasion	Demonee-oh.png	4	Demon	Fairy	Neutral	Jack	4	4	Ice	Electric	BS01-26	/ccred+4;/ccblue+4
Frost Ace	Demonic Invasion	FrostAce.png	4	Demon	Genma	Neutral	Jack	3	5	Ice	Curse	BS01-27	/ccred+3;/ccblue+5
High Pixie	Demonic Invasion	HighPixie.png	4	Demon	Fairy	Neutral		3	5	Force	Ice	BS01-28	/ccred+3;/ccblue+5
Power	Demonic Invasion	Power.png	4	Demon	Divine	Law		3	3	Expel	Curse	BS01-29	/ccred+3;/ccblue+3
Sarasvati	Demonic Invasion	Sarasvati.png	4	Demon	Megami	Law	Dance	3	5	Ice	Curse	BS01-30	/ccred+3;/ccblue+5
Succubus	Demonic Invasion	Succubus.png	4	Demon	Night	Chaos		5	3	Curse	Expel	BS01-31	/ccred+5;/ccblue+3
Thoth	Demonic Invasion	Thoth.png	4	Demon	Deity	Law		3	5	Electric	Physical	BS01-32	/ccred+3;/ccblue+5
Anubis	Demonic Invasion	Anubis.png	5	Demon	Avatar	Law		5	5	Curse	Force	BS01-33	/ccred+5;/ccblue+5
Belphegor	Demonic Invasion	Belphegor.png	5	Demon	Tyrant	Chaos		4	6	Ice	Fire	BS01-34	/ccred+4;/ccblue+6
Garuda	Demonic Invasion	Garuda.png	5	Demon	Avian	Law		5	5	Force	Electric	BS01-35	/ccred+5;/ccblue+5
Horus	Demonic Invasion	Horus.png	5	Demon	Deity	Law		4	6	Expel	Curse	BS01-36	/ccred+4;/ccblue+6
King Frost	Demonic Invasion	KingFrost.png	5	Demon	Tyrant	Chaos	Jack	4	6	Ice	Fire	BS01-37	/ccred+4;/ccblue+6
Naga Raja	Demonic Invasion	NagaRaja.png	5	Demon	Snake	Neutral		6	4	Electric	Force	BS01-38	/ccred+6;/ccblue+4
Parvati	Demonic Invasion	Parvati.png	5	Demon	Megami	Law	Dance	4	6	Ice	Fire	BS01-39	/ccred+4;/ccblue+6
Queen Frost	Demonic Invasion	QueenFrost.png	5	Demon	Tyrant	Chaos		6	4	Ice	Fire	BS01-40	/ccred+6;/ccblue+4
Queen Mab	Demonic Invasion	QueenMab.png	5	Demon	Night	Chaos		4	6	Force	Electric	BS01-41	/ccred+4;/ccblue+6
Virtue	Demonic Invasion	Virtue.png	5	Demon	Divine	Law		4	4	Expel	Curse	BS01-42	/ccred+4;/ccblue+4
Wendigo	Demonic Invasion	Wendigo.png	5	Demon	Jaki	Neutral		7	3	Ice	Fire	BS01-43	/ccred+7;/ccblue+3
Black Frost	Demonic Invasion	BlackFrost.png	6	Demon	Night	Chaos	Jack	6	6	Curse	Expel	BS01-44	/ccred+6;/ccblue+6
Cerberus	Demonic Invasion	Cerberus.png	6	Demon	Beast	Neutral		8	4	Fire	Ice	BS01-45	/ccred+8;/ccblue+4
